Site Name,Location,Cultural Importance,Type,Conservation Status,Sensitive Periods,Max Visitor Capacity,UNESCO Status,Local Significance Tags,District,Conservation Alert Level,Sustainability Flag,Redirect Recommendation,Overcrowding Risk,Recommended Time,Weather_Condition,AQI_Level,Target_Audience
Jaya Sri Maha Bodhi,"Anuradhapura District, North Central Province",High,Religious,Well-maintained,"Vesak, Poson, Esala",10000,No,"Temple, Ritual, Pilgrimage",Anuradhapura,Low,No,No,Low,Avoid Peak Holidays,Sunny,Moderate,Pilgrims & Culture Seekers
Polonnaruwa Ancient City,"Polonnaruwa District, North Central Province",High,Historical,Well-maintained,"Poson, Vesak",8000,Yes,"Ruins, Monastery, Palace, Temple",Polonnaruwa,High,Yes,Yes,High,Avoid Peak Holidays,Sunny,Poor,Pilgrims & Culture Seekers
Buduruwagala,"Monaragala District, Uva Province",High,Religious,Well-maintained,Poson,2000,No,"Rock Carving, Temple, Mahayana",Monaragala,Moderate,No,Yes,Medium,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Agrabodhi Raja Maha Vihara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,Yes,Yes,Low,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Devinuwara Raja Maha Vihara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,No,Yes,High,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Shrine of Our Lady of Matara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Moderate,No,Yes,High,Avoid Peak Holidays,Clear,Moderate,History & Heritage Enthusiasts
Dutch Reformed Church (Matara Fort),"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,Yes,Yes,Low,Weekdays only,Sunny,Good,History & Heritage Enthusiasts
Sithulpawwa Rajamaha Viharaya,Hambantota,High,Religious,Well-maintained,Esala,500,No,"Temple, Cave, Ritual",Hambantota,High,No,Yes,Medium,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Mulkirigala Raja Maha Vihara,Hambantota,High,Religious,Well-maintained,Esala,400,No,"Temple, Cave, Shrine",Hambantota,Low,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Yatala Vehera,Hambantota,High,Religious,Well-maintained,Poson,300,No,"Stupa, Ritual",Hambantota,High,No,Yes,Medium,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Naigala Raja Maha Vihara,Hambantota,Medium,Religious,Well-maintained,Esala,250,No,"Temple, Ruins",Hambantota,High,No,Yes,Medium,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Athubodaya Purana Vihara,Hambantota,Medium,Religious,Well-maintained,None,150,No,Image House,Hambantota,Low,Yes,Yes,Medium,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Attanayala Sri Vihara,Hambantota,Low,Religious,Well-maintained,None,100,No,"Temple, Dagoba",Hambantota,Moderate,Yes,Yes,High,Weekdays only,Clear,Poor,Pilgrims & Culture Seekers
Badagiriya Raja Maha Vihara,Hambantota,Medium,Religious,At-risk,None,120,No,Dagoba,Hambantota,High,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Beragama Punyawardhanarama Vihara,Hambantota,Medium,Religious,Well-maintained,None,200,No,Temple,Hambantota,Low,No,No,Medium,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Debarawewa Menik Raja Maha Vihara & Debarawewa Pashchimarama Vihara,Hambantota,Medium,Religious,At-risk,None,250,No,"Ruins, Dagoba",Hambantota,High,No,Yes,Medium,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
Galkote Raja Maha Vihara,Hambantota,Medium,Religious,Well-maintained,None,180,No,"Temple, Image House",Hambantota,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Hellala Dakshina Purana Vihara,Hambantota,Low,Religious,Well-maintained,None,100,No,"Dagoba, Wall",Hambantota,High,Yes,Yes,Medium,"May–July, Weekdays",Clear,Good,Pilgrims & Culture Seekers
Kahadagala Sri Dhammadhinna Vihara,Hambantota,Medium,Religious,At-risk,None,150,No,"Dagoba, Inscriptions",Hambantota,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Karabagala Aranya Senasana,Hambantota,High,Religious,At-risk,None,80,No,"Cave, Temple",Hambantota,Moderate,No,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Karuwalagala Purana Vihara,Hambantota,Low,Religious,At-risk,None,70,No,"Cave, Dagoba",Hambantota,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Kasagala Raja Maha Vihara / Kasagala Vihara,Hambantota,High,Religious,Well-maintained,Esala,300,No,"Temple, Residence",Hambantota,High,No,Yes,High,Anytime,Clear,Moderate,Pilgrims & Culture Seekers
Ramba Raja Maha Vihara,Hambantota,High,Religious,Well-maintained,None,280,No,Stupa,Hambantota,Moderate,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
